TIME,behaviour
00:00:00,
00:00:15,
00:00:30,
00:00:45,
00:01:00,
00:01:15,
00:01:30,
00:01:45,
00:02:00,FAN
00:02:15,FAN
00:02:30,FAN
00:02:45,FAN
00:03:00,FAN
00:03:15,FAN
00:03:30,LF
00:03:45,LF
00:04:00,LF
00:04:15,LF
00:04:30,LF
00:04:45,LF
00:05:00,LF
00:05:15,LF
00:05:30,LF
00:05:45,LF
00:06:00,
00:06:15,
00:06:30,
00:06:45,
00:07:00,
00:07:15,
00:07:30,
00:07:45,
00:08:00,FAN
00:08:15,FAN
00:08:30,FAN
00:08:45,LF
00:09:00,LF
00:09:15,LF
00:09:30,LF
00:09:45,
00:10:00,
00:10:15,
00:10:30,
00:10:45,BEND
00:11:00,BEND
00:11:15,BEND
00:11:30,BEND
00:11:45,BEND
00:12:00,BEND
00:12:15,BEND
00:12:30,BEND
00:12:45,DAN_CIRC
00:13:00,DAN_CIRC
00:13:15,DAN_CIRC
00:13:30,DAN_CIRC
00:13:45,DAN_CIRC
00:14:00,BEND
00:14:15,BEND
00:14:30,BEND
00:14:45,BEND
00:15:00,BEND
00:15:15,BEND
00:15:30,DAN_CIRC
00:15:45,DAN_CIRC
00:16:00,DAN_CIRC
00:16:15,DAN_CIRC
00:16:30,DAN_CIRC
00:16:45,DAN_CIRC
00:17:00,DAN_CIRC
00:17:15,DAN_CIRC
00:17:30,DAN_CIRC
00:17:45,
00:18:00,
00:18:15,
00:18:30,
00:18:45,
00:19:00,
00:19:15,
00:19:30,
00:19:45,
00:20:00,
00:20:15,
00:20:30,DAN_CIRC
00:20:45,DAN_CIRC
00:21:00,DAN_CIRC
00:21:15,DAN_CIRC
00:21:30,DAN_CIRC
00:21:45,DAN_CIRC
00:22:00,DAN_CIRC
00:22:15,DAN_CIRC
00:22:30,BEND
00:22:45,BEND
00:23:00,BEND
00:23:15,BEND
00:23:30,LF
00:23:45,LF
00:24:00,LF
00:24:15,LF
00:24:30,LF
00:24:45,LF
00:25:00,LF
00:25:15,LF
00:25:30,CHASE_FLEE
00:25:45,CHASE_FLEE
00:26:00,CHASE_FLEE
00:26:15,CHASE_FLEE
00:26:30,CHASE_FLEE
00:26:45,CHASE_FLEE
00:27:00,CHASE_FLEE
00:27:15,
00:27:30,
00:27:45,
00:28:00,
00:28:15,
00:28:30,
00:28:45,
00:29:00,
00:29:15,
00:29:30,
00:29:45,
00:30:00,
00:30:15,BN
00:30:30,BN
00:30:45,BN
00:31:00,BN
00:31:15,BN
00:31:30,BN
00:31:45,BN
00:32:00,BN
00:32:15,BN
00:32:30,BN
00:32:45,BN
00:33:00,BN
00:33:15,BN
00:33:30,BN
00:33:45,
00:34:00,
00:34:15,
00:34:30,
00:34:45,
00:35:00,
00:35:15,
00:35:30,
00:35:45,
00:36:00,
00:36:15,
00:36:30,
00:36:45,
00:37:00,
00:37:15,
00:37:30,
00:37:45,INS
00:38:00,INS
00:38:15,INS
00:38:30,INS
00:38:45,INS
00:39:00,INS
00:39:15,INS
00:39:30,INS
00:39:45,INS
00:40:00,INS
00:40:15,INS
00:40:30,
00:40:45,FAN
00:41:00,FAN
00:41:15,FAN
00:41:30,FAN
00:41:45,FAN
00:42:00,FAN
00:42:15,FAN
00:42:30,
00:42:45,
00:43:00,
00:43:15,NIP_CORE
00:43:30,NIP_CORE
00:43:45,NIP_CORE
00:44:00,NIP_CORE
00:44:15,NIP_CORE
00:44:30,NIP_CORE
00:44:45,
00:45:00,
00:45:15,
00:45:30,
00:45:45,LF
00:46:00,LF
00:46:15,LF
00:46:30,LF
