TIME,behaviour
00:00:00,NIP_IN
00:00:15,NIP_IN
00:00:30,NIP_IN
00:00:45,NIP_IN
00:01:00,NIP_IN
00:01:15,NIP_IN
00:01:30,NIP_IN
00:01:45,
00:02:00,
00:02:15,
00:02:30,
00:02:45,
00:03:00,
00:03:15,
00:03:30,
00:03:45,MAN
00:04:00,MAN
00:04:15,MAN
00:04:30,MAN
00:04:45,MAN
00:05:00,MAN
00:05:15,MAN
00:05:30,MAN
00:05:45,MAN
00:06:00,MAN
00:06:15,MAN
00:06:30,MAN
00:06:45,MAN
00:07:00,MAN
00:07:15,MAN
00:07:30,MAN
00:07:45,MAN
00:08:00,MAN
00:08:15,MAN
00:08:30,MAN
00:08:45,MAN
00:09:00,MAN
00:09:15,MAN
00:09:30,MAN
00:09:45,MAN
00:10:00,MAN
00:10:15,MAN
00:10:30,SPIT
00:10:45,SPIT
00:11:00,
00:11:15,
00:11:30,
00:11:45,
00:12:00,
00:12:15,
00:12:30,
00:12:45,
00:13:00,
00:13:15,
00:13:30,
00:13:45,
00:14:00,
00:14:15,
00:14:30,
00:14:45,
00:15:00,
00:15:15,
00:15:30,
00:15:45,
00:16:00,
00:16:15,
00:16:30,
00:16:45,
00:17:00,
00:17:15,
00:17:30,
00:17:45,NIP_OUT
00:18:00,
00:18:15,
00:18:30,AM
00:18:45,AM
00:19:00,AM
00:19:15,AM
00:19:30,AM
00:19:45,AM
00:20:00,AM
00:20:15,AM
00:20:30,AM
00:20:45,AM
00:21:00,AM
00:21:15,AM
00:21:30,AM
00:21:45,NIP_IN
00:22:00,NIP_IN
00:22:15,NIP_IN
00:22:30,NIP_IN
00:22:45,MAN
00:23:00,MAN
00:23:15,MAN
00:23:30,MAN
00:23:45,MAN
00:24:00,MAN
00:24:15,MAN
00:24:30,MAN
00:24:45,MAN
00:25:00,MAN
00:25:15,MAN
00:25:30,MAN
00:25:45,MAN
00:26:00,MAN
00:26:15,MAN
00:26:30,MAN
00:26:45,MAN
00:27:00,MAN
00:27:15,MAN
00:27:30,MAN
00:27:45,MAN
00:28:00,MAN
00:28:15,MAN
00:28:30,NIP_CORE
00:28:45,NIP_CORE
00:29:00,NIP_CORE
00:29:15,NIP_CORE
00:29:30,NIP_CORE
00:29:45,MAN
00:30:00,MAN
00:30:15,MAN
00:30:30,NIP_CORE
00:30:45,NIP_CORE
00:31:00,NIP_CORE
00:31:15,NIP_CORE
00:31:30,NIP_CORE
00:31:45,NIP_CORE
00:32:00,NIP_CORE
00:32:15,NIP_CORE
00:32:30,NIP_CORE
00:32:45,NIP_CORE
00:33:00,MAN
00:33:15,MAN
00:33:30,MAN
00:33:45,MAN
00:34:00,MAN
00:34:15,MAN
00:34:30,MAN
00:34:45,MAN
00:35:00,MAN
00:35:15,MAN
00:35:30,MAN
00:35:45,MAN
00:36:00,MAN
00:36:15,MAN
00:36:30,MAN
00:36:45,MAN
00:37:00,MAN
00:37:15,MAN
00:37:30,MAN
00:37:45,MAN
00:38:00,MAN
00:38:15,MAN
00:38:30,MAN
00:38:45,MAN
00:39:00,MAN
00:39:15,MAN
00:39:30,MAN
00:39:45,MAN
00:40:00,MAN
00:40:15,MAN
00:40:30,NIP_IN
00:40:45,NIP_IN
00:41:00,NIP_IN
00:41:15,NIP_IN
00:41:30,NIP_IN
00:41:45,NIP_IN
00:42:00,MAN
00:42:15,MAN
00:42:30,MAN
00:42:45,MAN
00:43:00,MAN
00:43:15,MAN
00:43:30,FS
00:43:45,FS
00:44:00,FS
00:44:15,FS
00:44:30,FS
00:44:45,FS
00:45:00,FS
00:45:15,FS
00:45:30,FS
00:45:45,FS
00:46:00,FS
00:46:15,FS
00:46:30,FS
00:46:45,FS
00:47:00,FS
00:47:15,FS
00:47:30,FS
00:47:45,FS
00:48:00,MAN
00:48:15,MAN
00:48:30,MAN
00:48:45,MAN
00:49:00,MAN
00:49:15,MAN
00:49:30,MAN
00:49:45,MAN
00:50:00,MAN
00:50:15,MAN
00:50:30,MAN
00:50:45,MAN
00:51:00,MAN
00:51:15,MAN
00:51:30,MAN
00:51:45,MAN
00:52:00,MAN
00:52:15,MAN
00:52:30,MAN
00:52:45,NIP_CORE
00:53:00,NIP_CORE
00:53:15,NIP_CORE
00:53:30,
00:53:45,
00:54:00,
00:54:15,
00:54:30,
00:54:45,
00:55:00,
00:55:15,
00:55:30,
00:55:45,
00:56:00,
00:56:15,
00:56:30,
00:56:45,
00:57:00,
00:57:15,ROLL
00:57:30,ROLL
00:57:45,ROLL
00:58:00,ROLL
00:58:15,ROLL
00:58:30,ROLL
00:58:45,
00:59:00,
00:59:15,LF
00:59:30,LF
00:59:45,LF
01:00:00,BK_SW
01:00:15,BK_SW
01:00:30,BK_SW
01:00:45,BK_SW
01:01:00,BK_SW
01:01:15,BK_SW
01:01:30,LF
01:01:45,LF
01:02:00,LF
01:02:15,LF
01:02:30,LF
01:02:45,LF
01:03:00,LF
01:03:15,
01:03:30,
01:03:45,
01:04:00,
01:04:15,
01:04:30,
01:04:45,
01:05:00,
01:05:15,
01:05:30,
01:05:45,
01:06:00,
01:06:15,
01:06:30,BEND
01:06:45,BEND
01:07:00,BEND
01:07:15,BEND
01:07:30,BEND
01:07:45,BEND
01:08:00,BEND
01:08:15,
01:08:30,ROLL
01:08:45,ROLL
01:09:00,ROLL
01:09:15,ROLL
01:09:30,LF
01:09:45,LF
01:10:00,LF
01:10:15,LF
01:10:30,LF
01:10:45,LF
01:11:00,LF
01:11:15,BEND
01:11:30,BEND
01:11:45,DAN_CIRC
01:12:00,DAN_CIRC
01:12:15,DAN_CIRC
01:12:30,DAN_CIRC
01:12:45,BEND
01:13:00,BEND
01:13:15,BEND
01:13:30,BEND
01:13:45,GB
01:14:00,
01:14:15,
01:14:30,SPA
01:14:45,
01:15:00,
01:15:15,
01:15:30,BEND
01:15:45,BEND
01:16:00,BEND
01:16:15,
01:16:30,
01:16:45,
01:17:00,SPA
01:17:15,
01:17:30,
01:17:45,BEND
01:18:00,BEND
01:18:15,BEND
01:18:30,DAN_CIRC
01:18:45,DAN_CIRC
01:19:00,DAN_CIRC
01:19:15,DAN_CIRC
01:19:30,DAN_CIRC
01:19:45,DAN_CIRC
01:20:00,DAN_CIRC
01:20:15,DAN_CIRC
01:20:30,DAN_CIRC
01:20:45,DAN_CIRC
01:21:00,DAN_CIRC
01:21:15,DAN_CIRC
01:21:30,BEND
01:21:45,BEND
01:22:00,BEND
01:22:15,BEND
01:22:30,BEND
01:22:45,BEND
01:23:00,BEND
01:23:15,BEND
01:23:30,BEND
01:23:45,BEND
01:24:00,BEND
01:24:15,BEND
01:24:30,LF
01:24:45,LF
01:25:00,LF
01:25:15,
01:25:30,ROLL
01:25:45,ROLL
01:26:00,ROLL
01:26:15,ROLL
01:26:30,ROLL
01:26:45,ROLL
01:27:00,ROLL
01:27:15,ROLL
01:27:30,ROLL
01:27:45,ROLL
01:28:00,ROLL
01:28:15,ROLL
01:28:30,ROLL
01:28:45,ROLL
01:29:00,ROLL
01:29:15,ROLL
01:29:30,ROLL
01:29:45,ROLL
01:30:00,BEND
01:30:15,BEND
01:30:30,BEND
01:30:45,DAN_CIRC
01:31:00,DAN_CIRC
01:31:15,DAN_CIRC
01:31:30,DAN_CIRC
01:31:45,DAN_CIRC
01:32:00,DAN_CIRC
01:32:15,DAN_CIRC
01:32:30,DAN_CIRC
01:32:45,DAN_CIRC
01:33:00,DAN_CIRC
01:33:15,BEND
01:33:30,BEND
01:33:45,
01:34:00,
01:34:15,
01:34:30,LF
01:34:45,LF
01:35:00,LF
01:35:15,LF
01:35:30,LF
01:35:45,LF
01:36:00,LF
01:36:15,LF
01:36:30,LF
01:36:45,
01:37:00,
01:37:15,
01:37:30,
01:37:45,
01:38:00,
01:38:15,
